transaction_id,customer_id,transaction_total,num_items,description
72,17983,18.58,3,afDmN7Nol0i0yKKzeCXV81nlA8ki8s
98,22788,89.86,6,NfSnolKp6nXJZFoYxkWnmlhm8W46Au4JCss
105,13501,89.81,8,RZfuH9pEm1xflQeza2BaVhS7XRRDwcyQ
128,38233,18.26,6,dHVcJpBQCpfHsJ7ZNTtpy
147,24994,70.24,14,GA8bCo6lw56ShYyV2VHCqTBb3tumdEU8Hba5Zv
198,47388,79.58,12,utkAy3rFCHhet14zOZxEa2A2dZGqNs6ZsXM0YDyJDOdg
210,12287,22.19,15,eS97uswqIO4V47BMhBhXfFcVlDDUFVT8y
246,44045,58.11,10,T8LxhywiDI2vZ4wczsBrz3bI0j0IlqB
265,14761,47.81,13,QXnElDhl0nmm5mujHt0LL79Q8AmEiU93PUpy7W8jdas42sD
280,3221,22.79,13,atkJP9ukNlYqvk5RHD89vd6hmTUlTti6twdxSN7TYhTG
291,17969,15.2,11,14gdPevQqDEIoNZcrK3o6hJK58xyWceTi4lO1o
293,10548,17.99,12,FeUEv47nDndH6TvPBIwKclXNXfO
299,14284,47.83,11,B25mufM4SN5n0eJfMZsiGTWAvboZWMuqhC7zexh
310,39184,43.45,5,XveRlNb06Gl9302ZwIbciF9HlXSLTymrz5iN
323,32186,19.31,13,u57dCPNRM1u0OBpYGtxUJyO6Xg6ex7qmuqrFZzBDW36QR6
329,29461,62.62,9,y17pSnlxNQZL5fpWFdxzu0SBF
353,34734,31.3,14,tNxzrjr5jpA25J80F1m1krVlW16nP34z
363,29363,67.49,12,mHvMCv4g9rMD5WLS6YbTZJD2oX4rJb7VvK9f
365,26844,76.18,5,Hee2c5tseMjIWE2DbXtcMizp89gUwsH4fdX9vI1TMdhRvmrk
402,5163,18.6,8,C4vKkpAxnfbSAkYFa4zhKSLCcmLoM
438,8757,47.67,8,8IdhHxpJ4M9V0hj5pObsoFkChqYLVnOspytwf4b3tKRLS
494,8770,62.24,10,0qmx1JMcWa0EwLpgxE3kfU9rTEzTidpIIEQbpiVWor9C
