transaction_id,customer_id,transaction_total,num_items,description
1912375,14638,73.51,8,NM0lzB8FSLwk5CCXge36AO6Hn4um
1912396,49162,37.38,5,xFV3mX1NzTuJeKzL7B2LTSeNhVvzAXp34E7
1912410,22279,12.18,9,EcXAsd2vdGTsfohZ0nodn0fo0d679mbQHUjlUrWYfs3ocL10M
1912411,49246,85.5,8,9LOPnEYXiuRN2ff6NnJbv
1912421,12511,19.76,10,NLVnRsdncWSoqvkGxEyaZi9
1912441,48197,52.41,3,JyPDOLdt6lPsZhtO3AgSX0NUU5dTR4LMppz
1912463,49257,62.31,8,sAK9FUaHRWvaChMI4vkl4Uo4BfIXp6KhGhy
1912471,30246,21.2,11,lNtGfaJRLnNIIjAJudjEXv41c977I
1912480,3631,87.42,1,fDYnF2aUxLueJQ2d9WYW3kJAvt
1912486,44055,11.84,8,Ufrlnw24wqrd7LkrsjGEJjorocLGM
1912488,31660,46.23,10,PMiLrc5oNp0qIavHxF4L
1912531,37379,56.79,4,L4yAxOD83DBov5berySpqCkiCbWh6
1912600,44612,19.18,15,OObLDZe3p5PCvxkgogGi
1912667,30507,95.82,3,22xbNmwxMDvKAObyD0wZMoYSo6fC94cC6CLvVgeHn
1912742,45043,81.81,1,itNPUFp0dhSd8uqMf2FdUWb8mEC6MGuAP0A0K0PUCY2FFHXYo
1912749,33437,36.2,5,rbz6geiGjfkmJTcr3Y64BpllFi0NZ2D9CFg1hrfM
1912776,4253,96.55,7,IC5vscbqZFjKHNfn5flWDciaW9jJ8l
1912797,21556,64.02,12,e1RvwyFXnP1NcGAdkhLQ63xfY2Sy8dJFMK
1912809,33791,33.13,15,3JmdgbLDJul5PenTGtDF3MGKfqK54l1K5koBD0Werk
1912844,45986,56.0,4,3kvzhwNmQpIy58SiUhf9Pm
1912849,38966,37.25,10,EOVecub2oHm1aTlzXCUrsX
1912856,7665,74.78,5,e8Y4cV48gzHlgDhmbKdj9SLp
1912860,27493,14.31,15,BTIbxUH19tKEY0d0nLjqeWsCypujH4D2XXqPuCKdpYTp
1912880,9416,62.08,9,0pXE3HrGlBOHTeu50jCucS
1912940,22959,72.02,6,TfNHSyHUdkkQ5ga1OLPEZOQMLet
1912948,30206,19.87,2,rEtz68VNdvcYKGwnvTp9p31L0DNf1cfo41ZbP82dcwCpW
1912990,30379,16.61,14,QSMNzZWA8HzFFuQJv5XIwITH5mJG2gi6
1913008,20128,15.53,14,Gektp9gfaCOB9yfoNH5S64zEqyN
1913059,18597,18.18,6,wSXh8imNnGpSg8d6fNc2U7z3YzbxGuQ3PZ
1913074,44990,44.64,2,LjEhMPMeVl70QPsgahVUrlaChFzCz1
1913108,23753,62.34,3,vJsCgv2g4YxhlwKZT45xEp8haepDKmt2hrSnSnGSAt
1913126,32215,11.17,8,5IIBNjRcbfqhxoK6YNmSNfyJ3j
1913156,3009,68.69,4,2lsdVCxsUxmD02sOlhoLGB5OtYG1UQFApKuVyvFBSGl
1913264,41439,77.3,10,HAX5EmpEDcPZ86ztx4dgF1AuCjz9fVr6R0vVUH
1913309,47338,18.83,9,MFWCUpeUcPIpJpUWOlan9FEsVUkBO45WE
1913339,20307,86.09,14,6eLiPZKzxi0fFg9GNkKy2GFXKxFsuCSXHzK0h48Vvr
1913343,30422,21.39,12,eP8hLlqyxVi3HkZ37wZZychli
1913383,38532,99.25,6,el7RrvHajE243CCgKixUIQJZxNaKA4AORNz6nZbMMLP
1913390,41766,93.92,3,IZb8jHM6201r9HcpTksFKMQ4AGDyUTAN
1913407,7418,35.0,5,ngjxhm2jqOtxQh7fmPHC
1913478,8482,45.57,13,Sp62iU2rlFjJBUQdppjbrdNH
1913511,41242,92.84,4,2W8r4ZzayM9kZs02yFfgRN8SbJs
1913534,21277,11.6,7,0jtChnKAb5ByqhczZ8d2KNLUpyQ07a5029b8xQ9RwSM6vT
1913586,37909,22.76,8,pCPDtDckLhrqjmj4wzaHZ8vlZeXHAYxTvDg4bei7oA
1913618,38930,43.15,6,7m7hp4AdZcWVN0VRSSLNmqbYvtMN510GNiquvOSSkumA3ofi
1913672,31148,82.41,4,MHgjMf7NeF17Gz3QdhcGCy5i0R3y0QhyGEF
1913688,13250,51.54,6,DILsfwmRyxr1q93SQfD4ZIig2z
1913706,48819,32.3,9,v7jsHNaY1Az0n8IhCo9vOyHINJM3LdlqwnN0jwyR3L
1913762,23352,65.3,4,ERM1gMHn1zOKSSiKASoLCKFJ9m5kWBjCgJswiiO2ZbD838Ou
1913771,44944,91.94,3,emlRucZtksctDTr0Mkl87xermv
1913792,3918,46.54,5,oWheRa3acTxAxjzWvJnLq
1913850,16214,20.5,6,rwBfrAfSHDk2TinxFW0y9ti7IQfihk9dIqhu3ywtH
1913855,4695,60.29,5,BX4BxPFqGGABrukXGHMqfnYzdThhQr6zkMas5wW
1913896,2187,92.21,3,m7r0mPEZNqshpQa5SzmSEJBAOhs0pYcPx1
1913905,23492,76.97,3,P4c1EwW9C7MXwYRQnONcka
1913919,31204,30.12,7,grDzhQ2q8uKQXULoX0FjU533igX3cJcicHgTgVo
1913949,3775,39.68,4,CN0UJumVM79rwaL7Y5jmQdLG0
1913978,26148,57.0,3,5BxQbHvzqtr3zzl3XXRIWmlTd3VeL6
1914003,1918,58.95,2,AqD3YZocsq7QwUhO7aEWnY8nmnBvQJlrqF
1914062,47821,69.85,3,RoBPuOhxfqMTvEyUu4kOti7BLaRIqq01xnt1Z
1914064,14968,79.57,15,KZk4cpslF3OlTnXypzlAHVsiJ5g4V24hRyBf5qFDW
1914070,8062,81.04,3,NKabD5kFUU1AMrkb0lmCzSN5H5VildTDStswz59
1914129,33836,27.87,3,pAJ9id2BP1cP6tZoRPmMUPo6A
1914178,4670,92.1,14,vCvG9lNlWCjKRPSUeUt15uYMgSDcDaIjHhq
1914185,30200,41.32,11,6EV3WKSQlTLep91h6vzmx6jLmKE20o
1914186,24070,95.48,9,LpyHpN7vPEHqdPbTxWz9NcOPb
1914233,33325,26.26,1,ZbKbl8QASXb60rvpIGfy25XIy
1914277,27494,21.37,13,SV51OkENbz3L5Tu0DDAnEQsJKmZIBL
1914281,18732,47.39,14,sYxVz9FIL8n1aAJmExRKxNne5q88Hb5iOiL8
1914284,33989,63.95,2,Ti36fTsyLdn8Iw4o782u
1914360,16307,98.9,8,AhABz2bmQYpg7HjskuN9Ug9E8knE3pO5dyPbjDOaJ6BDJT
1914377,38200,87.57,4,jf4ry6zUgjR29lvc60kxVlIyASIJZhkXIrxq
1914393,31097,32.53,5,TXBsTbZwmdW6uklCRIJPuAsplwNrJFhUsCZ95fd0J55pOsn
1914441,41937,32.24,1,gvkrOXJGfPFWMLyEHJ3zFjlpo7douZzJzlL9ltYuLLySM
1914449,11148,97.74,13,PtnTjJWXfpz5Gp57CK6syWdftN4m94vO5gw2h68g90
1914503,35977,30.89,13,UO8Pzl35TKpDbdZvwmpBBnMm5iv2OM9X0fTI6PJE
1914504,26854,56.17,9,7ZxCNilaa94uhFszHyKZ26dHez4sopyGxToNYQcwLWsECWq
1914521,25401,90.79,2,x30M3CnJgcpGumfiu3JqKC4yp0ijtdzgY1Uh9bQUYcZe
1914556,10462,86.66,5,g7H2PcnUbuvCAbb8mPkfotuDg7HnfWbRSIr
1914579,26701,28.89,14,arfG2Vch7M76D60nGKNy64QCoI4JoEi
1914603,36243,79.13,14,gxNzCgN82lRX4ZdxEs8wuOkWXtsld0kFT
