transaction_id,customer_id,transaction_total,num_items,description
4437883,16627,45.42,7,nMBkx1A0DVD8IxcEVMj9DYSOhMLXx2kkugFxaQBc8S8f
4437891,40044,23.67,4,DPUOASbfdy6ZrgxUOr2MgVPCCBrCliKkGZAgtRmkCT
4437893,19116,12.3,3,nQTYH4bXB47Z1WHzHZPrTeoj2i
4437895,30932,40.85,9,tMxjjYjkiSnBul8Su3B3GsUh11AHRji1WepP5b
4438018,47272,64.45,10,KK6UClDLbLutGjiol08VBqry4zQUxblVm5IUgRW
4438023,19348,57.69,15,f9Vyu2fXsJMHg2Xq5fNbrQQQXp0dWDhN
4438099,7717,94.43,3,d1l8B7F8xsuhOmRyQwZmPPAJh
4438110,16466,38.46,5,ERoeScAZZX6aiM3ObjkyMA
4438163,24642,56.93,6,1bacoTycVt5SbqVnekrtfdvh6yTlJ7HjhRhwVNb8o
4438170,21944,99.27,4,HAH6UzGEpsfoDfIau1LssVtnElNo4Tx
4438204,6506,92.05,12,BhzedmJWz8kWUypi2ZvqEMq4Zx4cQxhIe7La
4438212,26330,13.28,7,R0WvBLKBHakKAyXEf8jQfb3SrF5cvlBWP9YHudTi
4438243,17539,89.98,10,hKIUh3egWX9x0e7OOD9mQya3iVqT0XMcF
4438278,13733,77.37,6,OO85zbxVQGggCimcAhl6lGOD4oBZK
4438303,7118,23.45,13,jo3iOBXbRfvkkA10pkwbarrkoIM3wpHEcIQSB4h7vCX
4438305,43056,54.11,6,aEs8NhOQO3iCxh7lfQ6VA51G6bJ
4438340,42081,13.12,13,Bt9I44bW2xCmcSzGRNiVDLTCPRChlp61zVCRLhbPJneF8NZ
4438360,19347,89.93,6,fefKM0gwLLIPcYdK9OaJi9SAVIZuKPmH3s96mUDJI4Qaf
4438373,41340,91.59,12,ZUUQwVdgvQryS8mOgrymlIvG
4438388,35835,70.14,15,7OjytiYUE3nSOTWF79yPAi99RKyvQkYypS
4438393,14463,77.99,2,skjrXEAJLZpa4xZBUN4aMvnlTMS31Rh48JWwWvWFJv3
4438480,30911,54.75,12,COYitggGv6dVK0ALuid6VnhAq1AwxIL14omIRtUrywZABmjQh
4438494,48998,68.38,9,oqhj8fsSh7Sme9qnhOaDnhPoA4Y9c
4438510,6348,37.03,5,PcAVsDPpPXTQwKXWgFcb0xypgTdZ73s3qFWT1jWC5TgilORK1
4438521,3175,15.77,15,8OBcIDTKlFOowYUQqE9s0kT3yDyUL
4438570,43376,39.61,6,qerrdWZgdPmO54fECJv5NBj0a
4438616,15581,95.6,11,M3ZBCJ8MQC5BVuuakIdiKPXVQJ0yYeAlKG
4438636,42575,79.96,1,0cciWCJ1v0RWDUNunROgj2NGX8GCH
4438659,1123,38.12,5,LoAgS89A2VaXZH5cCxHenUhpm3KRZntrOc7fcws
4438670,45166,66.97,3,QudscTXojMWvTE8sVJlNb20zOxnESC61fmWsGdG
4438687,41142,75.03,14,opH8ZBd5UmJzPW5tui9WIqRo0Bt87va2sOG0oOQ
4438701,18490,20.7,3,tySGJ7UHnSkFPtbme4Yujs
4438706,34585,43.43,9,0NvBFGQRlvFgTo4pTFRBiu3Hx7n2HaD7YfwPCCSnTJx
4438712,22385,67.08,10,aM3vatufkOMuLwFc6XpeBX5evbqPrFNXs1M0ca
4438728,17761,49.3,12,2X23T2aFc59KZol5zFwsYkfX1BLPAOfW4WwJyQ
4438802,42896,80.42,3,L7eIp8VHoh4kBBcciyv0HA0r8
4438808,43499,22.08,8,J7UFgoFPvaqJctCxXXDvzh
4438819,49501,70.07,6,t3cMHxx10i49RyUK6XAVO3Qx
4438863,21798,29.53,2,HprfXU8Sv2SEIpS5zbTpz5RKSBd8lq9
4438867,34252,75.7,2,NH9IbnYogZQoAOsTcHoCVr9IrQlDsIsbKQtArpu3aUeHC
4438869,46487,97.79,4,l60eEFcB1BydrbFWzRms4UI9LkCAv6DihR
4438884,12469,11.06,4,OSekD87WDvYBA3W7utpkZJzPOTKRuIMjC1o6
4438885,14247,12.17,7,HNLDrZtEb9Vhgu8D9hEfGKKuqHESt71QFOdXivv
4438888,28385,75.21,10,aDwVl4mntcSQa1t7iGi0HsVBPeQtw0adTSyPG7IHKllW
4438890,15276,25.89,5,B1qo7fWypHsF3f9m0pzU0jbLn
4438924,38873,80.86,14,WPlIc5CogHhdyl37YH52xHIrzddu
4438933,1193,54.93,3,Lhi56vNtjIbZCSY1dXqR3iw4nxI
4438940,34138,41.57,10,QyKIG2MTU5L7Z6t6oBJ6BCW0GWSXvogJ6G
4438969,42545,22.21,5,rn9bi54ySFNdGn2aIPeOYUOm
4438977,49437,29.43,9,6tYdKchANvvjKlgRQoaTJlUIaMw4gI
4439001,41660,57.32,10,509PDApGXOmkP6w6QgiTGnCo
4439008,41609,40.27,10,8FXH2QJkY9ZkdO0phqIkkc10rHrWpNVdIlem78
4439014,24892,77.2,5,A7tW3WgGZrZsvo7hG7CeEPwse4xYkDeWBbI3THb7K
4439037,9755,92.92,11,iVftpYiIfbIERupWXd7hfvtT2l1DUkHWECKOEhPHT
4439052,49620,98.08,3,uOsf08iNGjgzxoVknsCHMirzc91RQbwYc8I
4439073,37309,77.08,13,09bo4ZXFB918uNesm3B5RPTTy0y4
4439086,35788,63.22,3,wrqNcaevIfi2tqg4JfR2Vug3TKD
4439087,2152,17.43,6,YEnpoM20MmRNbfxge5ZZ1yhMkmu7qHt5K68er5LNN
4439100,44129,65.74,10,m1Xt1kddYM3v5dU03k35w6h1iA5Nr1kA7XIX
4439105,43666,47.86,5,nFOKmmNU9sej2BY8J3fpYd7GC3vZC
4439111,21650,55.21,6,147IoDbyT7xwGaRZuKp2zFHDt5vExuJ6ES3M1xG0GhKOlQSSmv
4439116,47723,85.68,4,qcBdZrvjrvbu1L2hjVxyxFiNObkRqicbr7569NOho5HWw1
4439200,29277,29.97,15,9gPnninKBemPVBe2b65YOc3wgiUzBn4k300juLibuMNA49HyH
4439203,7,10.58,11,r0rIbdZL4Y6laMK3KSAOLLk2jysIvDlxBZnaNiFssZKX
4439214,43352,26.41,3,iqqzEWm7JZpxDz1yZts8OjSd9f2EwHVjWW8hVj
4439268,18686,62.46,12,ey4HFm9u6NUJPWEQVSfMMc
4439275,47268,76.45,6,KsWvMIQBf8VNBIs8tou3ykw95sd
4439328,28215,74.14,11,YkiN02zDp0A6Vx5C4iVN6gPheVGhlkcL4shA6X
4439342,28725,90.47,8,t5Ln2gEBn1ouKu5ubCxv6jTZYLz7D
4439355,16918,57.69,15,p8crSuoBvnLwZe6mA8rUfqEMxNtKaXtku6M9TAPrXst8
4439424,15721,72.8,14,jBsUjU7OmZgXtjWj5NTHtwnDy3Yv65UdfS4m2eTOcewmmUizw
4439427,20665,72.74,12,uvJHkBt1tgNyaD1xKq0jmNhOzozwN
4439442,32586,32.23,12,SODfWyCxVS6IiPrTjuyvGiASpHtB2bOrG32c12
4439497,39384,95.11,15,1BA9qJNWZjFIP9hASGLJ5bcFVpRHdlN7kJR
4439504,24044,62.28,8,SNwPF8wrkzWjxJyXmHmLZE3mc
4439528,18548,35.37,3,vxcUpVe4VteOt7qGJQuQsdr5yhRmVQdd
4439546,6362,43.01,4,nWZMgCEVeEypiFAjUlAsMMvN81n3bhy4bSCZpA
4439599,46255,39.39,5,ZTI8ZJb6hYQkrmUaGbdL7qmuPIHYjLk
4439639,38451,72.33,15,k5VUSXw9orZlvZriIhvqRiXzLKSD
4439694,41025,40.08,15,vV2ygw8nAWerwZxQcMtc92mUiohU9JMtZ17
4439792,1649,76.09,12,5w4fVk9w6x6cW12LYQowqSZTV
4439821,22944,39.55,8,osewcncb1NzsoYkpptpLCdtMbvRA1yPeve9fFNcqr
4439842,11247,88.95,11,fp4j4mxBgmlErAvlAG1bziWgRiCbtJTQ
4439899,6752,47.17,2,ozKDFDCxA2lsBxopqet2
4439903,11480,53.62,6,BoOtjHwzskiNlHHAIMJHUrZjC
4439913,45650,97.55,1,339KxqGiZn8mLnVJEpRPD37D3k
4439929,49208,10.26,6,KI5RDlZuAbo7oKm9smPHtJ
4439934,2323,28.64,12,QlzVEw4RPyEg6b7sFOhmGVo8ds7xHf
4439945,31462,48.84,10,aPmgx0QOQauuzHkRBvB7lahoJtGh9oCC2mrlt4JZ8CzCh
4439983,18881,70.37,10,TxlTmkw2QZHa6AoYJlJ3cJu
4440017,43347,90.48,4,GJxHKC74wdeN02G0sDlSHTNkLtFt2TFALw4ONOgCtGvc2O
4440019,44126,16.46,11,bXRqXlYCN5kXNWS2XXIljqdlfrZAniCb
4440056,31238,95.34,9,u00hzYqS0s3wVnaMJlTCyKGFwMA3C
4440080,43072,61.31,1,SFsKnHDLPcfPUZtBMr1Y
4440093,10074,63.46,5,ZLWpj3yL79wNAjka6BBlZX2wA
4440100,10445,54.71,12,7cxiZbTKvg8xy3if1mm6HBMX0fvje81Fw
4440127,46842,74.75,9,MloWWiOwC0BgjIUIZa0OBf
4440152,18520,94.76,5,qJHO0W5A5AfFw1ISBDWqKR00clOtE7C23zjfUqyrz9iFhxkL
4440170,41118,98.12,1,Hf7X2zkbofCMFR3pYY8F9WZZaNcmcHH390BarljSRkaubW7
4440171,26227,24.05,7,Kx32Hbrf5zIiTDGAwQraC20QpEG
4440174,3117,59.22,2,m0pzBkq0liohGgMSQAcoco
4440195,17670,45.88,5,YHPYaRPvo64IjXPY2UlXRyoKhL1sTpLKlcb
4440247,2626,92.95,15,nunyFzC9ErD2mEv4ycBq1LR6wO56pn
4440278,3936,79.01,4,gvPkW1l2ekfvTVk26jYzErbaSO9jhG4r
4440311,28150,62.59,10,42qCOW2nbWDGMRA7IEnaGvBkDMjz1DeCiEpCV5Baby0Atwo
4440316,32068,62.24,10,GyGH1xPmcXfkbjLT85wCgezcdP4oKcc2Xc470pDS
4440320,20593,77.58,3,0nk36ZncdYXLQThsRpFjjUZPjRpbaPmen5b
4440334,6003,80.05,5,z12BxwevR5guqDjM4tRvDEBJqe
4440367,3531,47.89,10,epDMTnO8yOeJE0hbAs5tYOkRyy2EsF6XnfW1QgT4
4440390,30749,14.26,13,64Jrw9YNeO333PYkCwoX
4440418,13921,26.11,13,90rcCllUbVNRBm4VPPOljgPxyA9EcQbL2Oi63JDUP
4440443,34784,51.0,2,RyTEq7lIqaeMDqJrTJtnm25
4440472,37045,47.1,15,oXNZAuPDSighJXY2bCa88g
4440525,10041,64.05,4,YPWsfoWftgMO9LZVT7kFlHhG3f4P
4440629,22562,49.22,2,HXMW5Xkcd4EcreedvwyNzZ3Jnr0hCIGaAQ2obMkzrgoD
4440677,44973,31.36,7,PHxdWEorK8BzlPesomve2Kdeqy9kQZiQ2a
4440684,46097,71.26,9,RncNQ10TqiciYsgqkLiVcCsAXLkqTwe9wqMG1PA6ZFJyQXO8I
4440690,1962,77.66,9,j5icdQeJ9VitMXTukshUuygC
4440697,8673,78.17,13,PJB8d11jIqBmwTQnTdhLcXRY1agxsV8oruCa5ysoj9d
4440699,44630,70.96,3,9Qpa2d67hFv6NYT47t3hp
4440701,44792,21.64,9,T1qUfLalYJMLJ4VNNijBFx
4440708,16776,53.43,9,EqCZGIDXJ56mugCTyJgIgrA0DkhPRF0RJz
4440731,41128,51.25,10,AWgCUxpleQyG0UTiuCue1n2dAcAPa2BCSLSCte86
4440743,4377,98.75,9,GqJrK3g8sSbkhWHTBEgGpw3BZUhwRU
4440756,11838,89.95,9,Z5ESds1l5TG19HJdiWO2eYpgfJ4t8m6KPCfKgR
4440798,19394,46.45,8,j6XL05sNL3RyeJCyUagnxyEpRG5
4440807,45094,89.27,13,7qL8CA7s4PqIYNle3SRpwRO1lCcSq7swzZAnT2hu
4440822,13547,68.92,15,p2rDfA8jD0HDnyF80DTtnHWPHqMHsO
4440837,48480,82.39,2,LMcWHrTbOaO78tTvLBXEcIAuM3ygVvUNmlZMYNt8Ss
